,index,pairs,Prioritaet,TechnAnalyse
172,193,PSGUSDT,9999,BUY
171,192,JUVUSDT,9999,BUY
181,202,TRUUSDT,9999,NEUTRAL
182,203,CKBUSDT,9999,BUY
184,205,FIROUSDT,9999,BUY
201,222,AUTOUSDT,9999,BUY
185,206,LITUSDT,9999,BUY
170,191,GRTUSDT,9999,BUY
189,210,ACMUSDT,9999,BUY
190,211,BADGERUSDT,9999,NEUTRAL
191,212,FISUSDT,9999,BUY
222,245,ERNUSDT,9999,BUY
192,213,OMUSDT,9999,BUY
193,214,PONDUSDT,9999,NEUTRAL
174,195,REEFUSDT,9999,BUY
195,216,ALICEUSDT,9999,BUY
196,217,LINAUSDT,9999,BUY
197,218,RAMPUSDT,9999,None
199,220,CFXUSDT,9999,BUY
187,208,DODOUSDT,9999,BUY
0,0,BTCUSDT,9999,NEUTRAL
237,260,QUICKUSDT,9999,BUY
225,248,BONDUSDT,9999,NEUTRAL
265,288,ADXUSDT,9999,NEUTRAL
267,290,DARUSDT,9999,BUY
268,291,BNXUSDT,9999,BUY
269,293,MOVRUSDT,9999,BUY
270,294,CITYUSDT,9999,BUY
271,295,ENSUSDT,9999,BUY
272,296,KP3RUSDT,9999,BUY
273,297,QIUSDT,9999,SELL
275,299,POWRUSDT,9999,NEUTRAL
276,300,VGXUSDT,9999,SELL
277,301,JASMYUSDT,9999,BUY
280,304,PYRUSDT,9999,NEUTRAL
281,305,RNDRUSDT,9999,BUY
282,306,ALCXUSDT,9999,BUY
264,287,CHESSUSDT,9999,BUY
284,308,MCUSDT,9999,SELL
286,311,FLUXUSDT,9999,BUY
288,313,VOXELUSDT,9999,BUY
289,314,HIGHUSDT,9999,BUY
290,315,CVXUSDT,9999,SELL
291,316,PEOPLEUSDT,9999,BUY
292,317,OOKIUSDT,9999,BUY
293,318,SPELLUSDT,9999,BUY
294,320,JOEUSDT,9999,SELL
295,321,ACHUSDT,9999,BUY
298,324,LOKAUSDT,9999,BUY
299,325,SCRTUSDT,9999,SELL
300,326,API3USDT,9999,BUY
301,327,BTTCUSDT,9999,BUY
302,328,ACAUSDT,9999,BUY
285,310,BICOUSDT,9999,BUY
262,285,RAREUSDT,9999,BUY
260,283,RADUSDT,9999,BUY
259,282,AGLDUSDT,9999,SELL
226,249,MLNUSDT,9999,BUY
227,250,DEXEUSDT,9999,BUY
229,252,CLVUSDT,9999,BUY
230,253,QNTUSDT,9999,BUY
231,254,FLOWUSDT,9999,NEUTRAL
232,255,TVKUSDT,9999,BUY
233,256,MINAUSDT,9999,BUY
234,257,RAYUSDT,9999,SELL
235,258,FARMUSDT,9999,BUY
236,259,ALPACAUSDT,9999,BUY
166,186,ROSEUSDT,9999,BUY
238,261,MBOXUSDT,9999,BUY
239,262,FORUSDT,9999,BUY
240,263,REQUSDT,9999,BUY
241,264,GHSTUSDT,9999,BUY
242,265,WAXPUSDT,9999,BUY
243,266,TRIBEUSDT,9999,SELL
257,280,FRONTUSDT,9999,BUY
256,279,FIDAUSDT,9999,NEUTRAL
255,278,DFUSDT,9999,BUY
254,277,SYSUSDT,9999,BUY
253,276,YGGUSDT,9999,SELL
252,275,ILVUSDT,9999,SELL
223,246,KLAYUSDT,9999,BUY
251,274,GALAUSDT,9999,BUY
249,272,IDEXUSDT,9999,BUY
248,271,POLYUSDT,9999,BUY
247,270,DYDXUSDT,9999,NEUTRAL
246,269,ELFUSDT,9999,STRONG_SELL
245,268,XECUSDT,9999,NEUTRAL
244,267,GNOUSDT,9999,BUY
250,273,VIDTUSDT,9999,BUY
165,185,UNFIUSDT,9999,BUY
152,172,XVSUSDT,9999,BUY
163,183,DNTUSDT,9999,BUY
40,48,GTOUSDT,9999,BUY
41,50,DOGEUSDT,9999,SELL
42,51,DUSKUSDT,9999,BUY
45,54,COSUSDT,9999,BUY
46,56,COCOSUSDT,9999,BUY
47,57,MTLUSDT,9999,NEUTRAL
48,58,TOMOUSDT,9999,BUY
51,61,MFTUSDT,9999,NEUTRAL
52,62,KEYUSDT,9999,BUY
53,64,DOCKUSDT,9999,BUY
54,65,WANUSDT,9999,BUY
55,66,FUNUSDT,9999,SELL
56,67,CVCUSDT,9999,BUY
57,68,CHZUSDT,9999,BUY
59,71,BEAMUSDT,9999,BUY
61,73,RENUSDT,9999,SELL
62,74,RVNUSDT,9999,BUY
81,95,LSKUSDT,9999,NEUTRAL
79,93,WRXUSDT,9999,BUY
78,92,TCTUSDT,9999,BUY
76,90,OGNUSDT,9999,SELL
74,88,FTTUSDT,9999,NEUTRAL
73,87,VITEUSDT,9999,BUY
39,47,ALGOUSDT,9999,SELL
72,86,TROYUSDT,9999,BUY
70,84,CTXCUSDT,9999,BUY
69,82,RLCUSDT,9999,BUY
67,80,ARPAUSDT,9999,BUY
65,78,STXUSDT,9999,BUY
64,77,NKNUSDT,9999,SELL
63,76,HBARUSDT,9999,NEUTRAL
71,85,BCHUSDT,9999,BUY
82,96,BNTUSDT,9999,BUY
37,45,ONEUSDT,9999,SELL
35,43,ATOMUSDT,9999,BUY
1,1,ETHUSDT,9999,NEUTRAL
3,4,NEOUSDT,9999,BUY
4,5,LTCUSDT,9999,BUY
5,6,QTUMUSDT,9999,BUY
6,7,ADAUSDT,9999,NEUTRAL
7,8,XRPUSDT,9999,BUY
8,9,EOSUSDT,9999,NEUTRAL
9,11,IOTAUSDT,9999,BUY
10,12,XLMUSDT,9999,NEUTRAL
11,13,ONTUSDT,9999,BUY
12,14,TRXUSDT,9999,SELL
13,15,ETCUSDT,9999,BUY
14,16,ICXUSDT,9999,BUY
15,18,NULSUSDT,9999,BUY
16,19,VETUSDT,9999,BUY
17,23,LINKUSDT,9999,BUY
18,24,WAVESUSDT,9999,NEUTRAL
34,42,MATICUSDT,9999,BUY
33,41,MITHUSDT,9999,BUY
31,39,THETAUSDT,9999,BUY
30,38,OMGUSDT,9999,BUY
29,36,DASHUSDT,9999,NEUTRAL
28,35,CELRUSDT,9999,BUY
36,44,TFUELUSDT,9999,BUY
27,34,IOSTUSDT,9999,BUY
24,31,BATUSDT,9999,SELL
23,30,FETUSDT,9999,NEUTRAL
22,29,ZRXUSDT,9999,BUY
21,28,ZILUSDT,9999,BUY
20,27,HOTUSDT,9999,BUY
19,26,ONGUSDT,9999,NEUTRAL
26,33,ZECUSDT,9999,NEUTRAL
83,97,LTOUSDT,9999,BUY
84,99,AIONUSDT,9999,BUY
85,100,MBLUSDT,9999,SELL
124,143,SANDUSDT,9999,SELL
126,145,NMRUSDT,9999,BUY
127,146,DOTUSDT,9999,BUY
128,147,LUNAUSDT,9999,NEUTRAL
129,148,RSRUSDT,9999,SELL
131,150,WNXMUSDT,9999,BUY
133,153,SUSHIUSDT,9999,BUY
134,154,YFIIUSDT,9999,BUY
135,155,KSMUSDT,9999,SELL
136,156,EGLDUSDT,9999,BUY
137,157,DIAUSDT,9999,BUY
138,158,RUNEUSDT,9999,BUY
139,159,FIOUSDT,9999,BUY
140,160,UMAUSDT,9999,BUY
141,161,BELUSDT,9999,BUY
142,162,WINGUSDT,9999,BUY
143,163,UNIUSDT,9999,BUY
162,182,HARDUSDT,9999,BUY
161,181,AXSUSDT,9999,BUY
160,180,AKROUSDT,9999,SELL
158,178,AUDIOUSDT,9999,SELL
156,176,FILUSDT,9999,BUY
154,174,AAVEUSDT,9999,BUY
123,142,CRVUSDT,9999,BUY
153,173,ALPHAUSDT,9999,BUY
151,171,UTKUSDT,9999,BUY
148,168,HNTUSDT,9999,SELL
147,167,AVAXUSDT,9999,NEUTRAL
146,166,SUNUSDT,9999,BUY
145,165,OXTUSDT,9999,BUY
144,164,NBSUSDT,9999,BUY
303,329,ANCUSDT,9999,SELL
122,141,ANTUSDT,9999,BUY
121,140,SRMUSDT,9999,SELL
120,139,JSTUSDT,9999,BUY
99,116,REPUSDT,9999,NEUTRAL
98,115,KNCUSDT,9999,NEUTRAL
97,114,STMXUSDT,9999,BUY
96,113,MDTUSDT,9999,NEUTRAL
95,111,ARDRUSDT,9999,BUY
94,110,GXSUSDT,9999,None
100,117,LRCUSDT,9999,SELL
93,109,CHRUSDT,9999,NEUTRAL
91,107,CTSIUSDT,9999,SELL
90,106,SOLUSDT,9999,SELL
89,104,DATAUSDT,9999,BUY
88,103,WTCUSDT,9999,BUY
87,102,STPTUSDT,9999,NEUTRAL
86,101,COTIUSDT,9999,BUY
92,108,HIVEUSDT,9999,BUY
164,184,STRAXUSDT,9999,SELL
101,118,PNTUSDT,9999,BUY
103,121,SCUSDT,9999,BUY
119,138,KMDUSDT,9999,BUY
118,137,IRISUSDT,9999,BUY
117,136,BLZUSDT,9999,NEUTRAL
116,135,BALUSDT,9999,BUY
115,134,YFIUSDT,9999,BUY
113,132,MANAUSDT,9999,BUY
102,119,COMPUSDT,9999,NEUTRAL
112,131,STORJUSDT,9999,SELL
110,128,MKRUSDT,9999,BUY
109,127,SXPUSDT,9999,BUY
108,126,GBPUSDT,9999,NEUTRAL
106,124,VTHOUSDT,9999,BUY
105,123,SNXUSDT,9999,BUY
104,122,ZENUSDT,9999,SELL
111,130,DCRUSDT,9999,BUY
304,330,XNOUSDT,9999,BUY
